만두;dumpling
아마;maybe, perhaps
아무;any
아버님;father
아버지;father
아빠;dad
아시아;Asia
아이;child
아이스크림;ice cream
아저씨;uncle, mister
아주;very, completely
아주머니;old lady, madame, aunt
아줌마;old lady, madame, aunt
아직;yet, still
아침;morning, breakfast
아침밥;breakfast
아침식사;breakfast
아파트;apartment, mansion
아프다;painful, sick
아프리카;Africa
아홉;9
아흔;90
악기;musical instrument
안;within, not ~
안경;glasses
안내하다;guide, invite
안녕하세요;hi, hello
안녕하십니까;hello
안다;embrace, cradle
안전하다;safe
앉다;sit
알다;know
알리다;inform
알맞다;fit, appropriate
알았습니다;I understood.
앞;front, previous
애;child
액세서리;accessory
야구;baseball
야채;vegetable
약;about, medicine
약간;slightly, a little
약국;pharmacy
약사;pharmacist
약속;appointment, promise
얇다;thin
양;amount, sheep
양말;socks
양복;suit
양식;form, western style
양파;onion
얘기하다;talk
어깨;shoulder
어느;which, how
어둡다;dark
어디;where
어떤;which, what
어떻게;how
어떻다;how
어렵다;difficult
어른;adult
