가게;store, shop
극장;theater, cinema
근처;nearby, neighborhood
글;post, sentence, character
글쎄요;I do not know., well, I guess ~
금방;soon, a little while ago
금연;no smoking
금요일;Friday
금주;abstinence, temperance
급;class, grade
급하다;hurry, urgent
기간;term, period
기다리다;wait
기르다;cultivate, grow
기름;oil, gasoline
기분;feeling
기뻐하다;glad, delight
기쁘다;happy
기사;article, driver, engineer
기숙사;dormitory
기억하다;remember
기온;temperature
기자;reporter
기차;train
기침;cough
기타;other
긴장되다;be nervous
길;way, road
길다;long
김;seaweed
김밥;Kimbab
김치;Kimchi
김치찌개;Kimchi stew
김포공항;Gimpo International Airport
까만색;black color
까맣다;black
깎다;cut, shave
깜짝;startled, surprised
깨끗하다;clean
깨다;wake up, crack, break
깨지다;chip, crack, break
꺼내다;take out
껌;chewing gum
꼭;exactly, absolutely
꽃;flower
꽃집;florist
꾸다;dream
꿈;dream
끄다;turn off, extinguish, stop
끓이다;boil
끝;end
끝나다;finish, end
끝내다;finish
끼다;put on, plug, (fog) rolls in
나;I
나가다;go out, get out
나누다;share, divide
나다;occur, come out
나라;country
나무;tree
나빠지다;spoil, deteriorate
나쁘다;bad
나오다;come out, appear
나이;age, old
나중;later, after
나타나다;appear
나흘;four days
낚시;fishing
날;day
날씨;weather
날짜;date
남;south, man
남기다;leave
남녀;men and women
남대문시장;Namdaemun market
남동생;younger brother
남미;South America
남북;north and south
남자;man
남쪽;south
남편;husband
남학생;male student
낮;day, noon, during the day
낮다;low
내;of mine, my
내가;I
내과;internal medicine
내년;next year
내다;pay, put out
내려가다;go down
내려오다;come down
내리다;go down
내용;content
내일;tomorrow
냄비;pot
냄새;smell
냉면;cold noodle
냉장고;refrigerator
너;you
너무;too, very
넓다;wide
넘다;exceed, more than
넘어지다;fall down, fall
넣다;put in
네;yes, 4
넥타이;necktie
넷;4
넷째;fourth
년;year
노란색;yellow color
노랗다;yellow
노래;song
노래방;Karaoke shop
노래하다;sing
노력하다;endeavor, strive
노트;note
녹색;green
녹차;green tea
놀다;play
놀라다;be surprised
농구;basketball
높다;high
놓다;put
누가;who
누구;who
누나;sister (as seen from the younger brother)
누르다;press down, push
눈;eye, snow
눈물;tear
눈사람;snowman
눈싸움;staring contest, snowball fight
눕다;lie down, sleep
뉴스;news
뉴욕;New York
느끼다;feel
느낌;feeling
느리다;slow
늘;always
늘다;gain, increase
능력;ability
늦다;late, delay
늦잠;overslept, sleeping in late
님;Sir
다;all, whole
다녀오다;return, come back
다니다;go, commute
다르다;different
다른;other ~, another ~, different ~
다리;bridge, leg, foot
다섯;5
다시;again
다음;next, after
다음달;next month
다음주;next week
다음해;next year, following year
다이어트;diet
다치다;hurt
닦다;wipe, polish
단어;word
단점;disadvantage, shortcoming, drawback
닫다;close
닫히다;shut, close
달;month, moon
달걀;egg
달다;sweet
달러;dollar
달력;calendar
달리다;run
닭;chicken, hen
닭고기;chicken
닮다;resemble
담그다;dip, pickle
담배;tobacco
답장;reply
당근;carrot
당신;you
대;versus, large
대답;answer
대답하다;answer, reply
대부분;mostly, almost
대사관;embassy
대학;university, college
대학교;university, college
대학생;college student
대학원;graduate school
대학원생;postgraduate student, graduate student
대한민국;Republic of Korea, South Korea
대화;conversation, dialogue
대회;competition, tournament
댁;house
더;more
더럽다;dirty
더운물;hot water
덕분;thanks for, thanks to
덥다;hot
덮다;cover
데리다;bring, take along
데이트;date, dating
도로;road
도서관;library
도시;city
도와주다;help
도움;help, assistance
도착;arrival
도착하다;arrive
도쿄;Tokyo
독서;reading
독서실;reading room
독서하다;read
독일;Germany
돈;money
돌아가다;return, go back
돌아오다;come back, come home
돕다;help
동네;town, neighborhood
동대문시장;Dongdaemun market
동물;animal
동생;brother, sister
동아리;club, group
동안;during, between
동양;eastern, orient
동전;coin
동쪽;east
돼지;pig
돼지고기;pork
되다;become
된장;fermented soybean paste
된장국;soybean paste soup
된장찌개;soybean paste stew
두;two
두껍다;thick
두다;put
두부;tofu
두부찌개;tofu soup
둘;2
둘째;second, the second of~
뒤;rear, back
뒤쪽;behind, back, towards the rear
드라마;drama
드리다;give
드시다;eat (honorific form)
듣기;listening, hearing
듣다;listen
들;field, ~s,
들다;hold, enter
들어가다;go in, enter
들어오다;come in, enter
등;etc, back
등산;hiking, mountain-climbing
등산복;mountaineering clothing
등산화;hiking boots, climbing shoes
디브이디;DVD
디자인;design
따뜻하다;warm
따라가다;follow
따라오다;come with, follow
따로;separately
따르다;follow
딸;daughter
딸기;strawberry
땀;sweat
때;time
때문;because, for ~, so~
떠나다;leave
떠들다;chatter, make a noise
떡;rice cake
떡국;rice cake soup
떡볶이;Toppogi
떨어지다;drop
또;in addition, again
또는;or
똑같다;same
똑바로;upright, straight
뛰다;run
뜨겁다;hot
뜨다;rise, open (the eyes)
뜻;meaning
라디오;radio
라면;ramen
러시아;Russia
로션;skin lotion
마늘;garlic
마르다;dry
마리;~ animal(s), ~ head(s)
마시다;drink
마음;mind, feeling
마지막;last
마치다;finish, end
마흔;40
막히다;be blocked, be clogged
만;only, ten thousand
만나다;meet
